eventId,eventUid,eventDate,eventName,eventShortName,venueFullName,venueCity,teamNameHome,teamAbbreviationHome,teamScoreHome,teamNameAway,teamAbbreviationAway,teamScoreAway
401030705,s:20~l:28~e:401030705,2018-09-16T17:00Z,Minnesota Vikings at Green Bay Packers,MIN @ GB,Lambeau Field,Green Bay,Packers,GB,0,Vikings,MIN,0
401030694,s:20~l:28~e:401030694,2018-09-16T17:00Z,Houston Texans at Tennessee Titans,HOU @ TEN,Nissan Stadium,Nashville,Titans,TEN,0,Texans,HOU,0
401030708,s:20~l:28~e:401030708,2018-09-16T17:00Z,Cleveland Browns at New Orleans Saints,CLE @ NO,Mercedes-Benz Superdome,New Orleans,Saints,NO,0,Browns,CLE,0
401030700,s:20~l:28~e:401030700,2018-09-16T17:00Z,Miami Dolphins at New York Jets,MIA @ NYJ,MetLife Stadium,East Rutherford,Jets,NYJ,0,Dolphins,MIA,0
401030698,s:20~l:28~e:401030698,2018-09-16T17:00Z,Kansas City Chiefs at Pittsburgh Steelers,KC @ PIT,Heinz Field,Pittsburgh,Steelers,PIT,0,Chiefs,KC,0
401030696,s:20~l:28~e:401030696,2018-09-16T17:00Z,Philadelphia Eagles at Tampa Bay Buccaneers,PHI @ TB,Raymond James Stadium,Tampa,Buccaneers,TB,0,Eagles,PHI,0
401030693,s:20~l:28~e:401030693,2018-09-16T17:00Z,Indianapolis Colts at Washington Redskins,IND @ WSH,FedEx Field,Landover,Redskins,WSH,0,Colts,IND,0
401030732,s:20~l:28~e:401030732,2018-09-16T20:05Z,Arizona Cardinals at Los Angeles Rams,ARI @ LAR,Los Angeles Memorial Coliseum,Los Angeles,Rams,LAR,0,Cardinals,ARI,0
401030730,s:20~l:28~e:401030730,2018-09-16T20:05Z,Detroit Lions at San Francisco 49ers,DET @ SF,Levi's Stadium,Santa Clara,49ers,SF,0,Lions,DET,0
401030736,s:20~l:28~e:401030736,2018-09-16T20:25Z,Oakland Raiders at Denver Broncos,OAK @ DEN,Broncos Stadium at Mile High,Denver,Broncos,DEN,0,Raiders,OAK,0
401030733,s:20~l:28~e:401030733,2018-09-16T20:25Z,New England Patriots at Jacksonville Jaguars,NE @ JAX,TIAA Bank Field,Jacksonville,Jaguars,JAX,0,Patriots,NE,0
401030738,s:20~l:28~e:401030738,2018-09-17T00:20Z,New York Giants at Dallas Cowboys,NYG @ DAL,AT&T Stadium,Arlington,Cowboys,DAL,0,Giants,NYG,0
401030739,s:20~l:28~e:401030739,2018-09-18T00:15Z,Seattle Seahawks at Chicago Bears,SEA @ CHI,Soldier Field,Chicago,Bears,CHI,0,Seahawks,SEA,0
401030775,s:20~l:28~e:401030775,2018-09-21T00:20Z,New York Jets at Cleveland Browns,NYJ @ CLE,FirstEnergy Stadium,Cleveland,Browns,CLE,0,Jets,NYJ,0
401030777,s:20~l:28~e:401030777,2018-09-23T17:00Z,New Orleans Saints at Atlanta Falcons,NO @ ATL,Mercedes-Benz Stadium,Atlanta,Falcons,ATL,0,Saints,NO,0
401030795,s:20~l:28~e:401030795,2018-09-23T17:00Z,San Francisco 49ers at Kansas City Chiefs,SF @ KC,Arrowhead Stadium,Kansas City,Chiefs,KC,0,49ers,SF,0
401030787,s:20~l:28~e:401030787,2018-09-23T17:00Z,Oakland Raiders at Miami Dolphins,OAK @ MIA,Hard Rock Stadium,Miami Gardens,Dolphins,MIA,0,Raiders,OAK,0
401030784,s:20~l:28~e:401030784,2018-09-23T17:00Z,Buffalo Bills at Minnesota Vikings,BUF @ MIN,U.S. Bank Stadium,Minneapolis,Vikings,MIN,0,Bills,BUF,0
