sc,range,season,tm_tr,tm,w_win,l_win,t_win,mov_win,w_ats,l_ats,t_ats,ats_ats,w_ou,l_ou,t_ou,total_ou
is_after_win,2016,2016,Philadelphia,PHI,3,3,0,7,3,3,0,8.3,3,3,0,-0.9
is_after_win,2016,2016,Pittsburgh,PIT,10,3,0,2.3,8,5,0,-1.9,4,9,0,-3.6
is_after_win,2016,2016,Seattle,SEA,5,5,1,-1.1,5,6,0,-3.7,6,5,0,-5.2
is_after_win,2016,2016,San Francisco,SFO,0,2,0,-10.5,1,1,0,1.2,2,0,0,15.8
is_after_win,2016,2016,Tampa Bay,TBY,5,3,0,-0.6,6,2,0,2.9,2,5,1,-6.6
is_after_win,2016,2016,Tennessee,TEN,3,5,0,-5.5,2,6,0,-5.9,4,4,0,0.2
is_after_win,2016,2016,Washington,WAS,4,4,0,1.8,5,3,0,-0.1,4,4,0,-4.1
is_after_win,2017,2017,Arizona,ARI,1,6,0,-13.7,1,5,1,-8.4,2,5,0,-1.1
is_after_win,2017,2017,Atlanta,ATL,6,5,0,1.7,5,6,0,-0.9,4,7,0,-4.5
is_after_win,2017,2017,Baltimore,BAL,4,5,0,0.4,3,5,1,-3.8,6,3,0,10.2
is_after_win,2017,2017,Buffalo,BUF,3,6,0,-4.1,5,4,0,-0.2,4,5,0,-7.9
is_after_win,2017,2017,Carolina,CAR,7,4,0,0.5,5,6,0,-1.8,7,4,0,2.3
is_after_win,2017,2017,Chicago,CHI,1,4,0,-7.6,2,3,0,-0.4,1,4,0,-9.5
is_after_win,2017,2017,Cincinnati,CIN,3,3,0,-2,4,2,0,0,4,2,0,2.9
is_after_win,2017,2017,Dallas,DAL,4,4,0,-1.4,3,4,1,-4,3,5,0,-1.7
is_after_win,2017,2017,Denver,DEN,2,3,0,-0.4,2,3,0,-3.3,2,3,0,1.7
is_after_win,2017,2017,Detroit,DET,4,4,0,2.2,3,4,1,0.4,5,3,0,3.6
is_after_win,2017,2017,Green Bay,GBY,3,4,0,-3.3,3,4,0,-3.5,5,2,0,1.5
is_after_win,2017,2017,Houston,HOU,0,4,0,-5.2,3,1,0,2,3,1,0,22.2
is_after_win,2017,2017,Indianapolis,IND,0,3,0,-15,1,2,0,-5,2,1,0,8.2
is_after_win,2017,2017,Jacksonville,JAX,6,6,0,2.2,6,6,0,-0.5,8,4,0,9.4
