season,seasontype,wk,date,time,tm_home,tm_away,pts_away,pts_home
2006,2,17,2006-12-31,2006-12-31T01:00:00Z,WAS,NYG,34,28
2006,2,17,2006-12-31,2006-12-31T18:00:00Z,CIN,PIT,23,17
2006,2,17,2006-12-31,2006-12-31T18:00:00Z,DAL,DET,39,31
2006,2,17,2006-12-31,2006-12-31T18:00:00Z,HOU,CLE,6,14
2006,2,17,2006-12-31,2006-12-31T18:00:00Z,KCY,JAX,30,35
2006,2,17,2006-12-31,2006-12-31T18:00:00Z,NOR,CAR,31,21
2006,2,17,2006-12-31,2006-12-31T18:00:00Z,NYJ,OAK,3,23
2006,2,17,2006-12-31,2006-12-31T18:00:00Z,TBY,SEA,23,7
2006,2,17,2006-12-31,2006-12-31T18:00:00Z,TEN,NWE,40,23
2006,2,17,2006-12-31,2006-12-31T21:15:00Z,BAL,BUF,7,19
2006,2,17,2006-12-31,2006-12-31T21:15:00Z,DEN,SFO,26,23
2006,2,17,2006-12-31,2006-12-31T21:15:00Z,IND,MIA,22,27
2006,2,17,2006-12-31,2006-12-31T21:15:00Z,PHI,ATL,17,24
2006,2,17,2007-01-01,2007-01-01T01:15:00Z,CHI,GBY,26,7
2006,3,1,2007-01-06,2007-01-06T21:30:00Z,IND,KCY,8,23
2006,3,1,2007-01-07,2007-01-07T01:00:00Z,SEA,DAL,20,21
2006,3,1,2007-01-07,2007-01-07T18:00:00Z,NWE,NYJ,16,37
2006,3,1,2007-01-07,2007-01-07T21:30:00Z,PHI,NYG,20,23
2006,3,2,2007-01-13,2007-01-13T21:30:00Z,BAL,IND,15,6
2006,3,2,2007-01-14,2007-01-14T01:00:00Z,NOR,PHI,24,27
2006,3,2,2007-01-14,2007-01-14T18:00:00Z,CHI,SEA,24,27
2006,3,3,2007-01-21,2007-01-21T20:00:00Z,CHI,NOR,14,39
2006,3,3,2007-01-21,2007-01-21T23:30:00Z,IND,NWE,34,38
2006,3,5,2007-02-04,2007-02-04T23:00:00Z,CHI,IND,29,17
2007,1,1,2007-08-09,2007-08-09T23:30:00Z,DET,CIN,26,27
2007,1,1,2007-08-10,2007-08-10T00:00:00Z,DAL,IND,10,23
2007,1,1,2007-08-10,2007-08-10T23:00:00Z,NYJ,ATL,16,31
2007,1,1,2007-08-10,2007-08-10T23:30:00Z,TBY,NWE,10,13
2007,1,1,2007-08-11,2007-08-11T00:00:00Z,NOR,BUF,13,10
2007,1,1,2007-08-11,2007-08-11T23:30:00Z,CLE,KCY,12,16
2007,1,1,2007-08-11,2007-08-11T23:30:00Z,MIA,JAX,17,18
2007,1,1,2007-08-11,2007-08-11T23:30:00Z,PIT,GBY,13,9
2007,1,1,2007-08-12,2007-08-12T00:00:00Z,HOU,CHI,20,19
2007,1,1,2007-08-12,2007-08-12T00:00:00Z,NYG,CAR,24,21
2007,1,1,2007-08-12,2007-08-12T00:00:00Z,TEN,WAS,14,6
2007,1,1,2007-08-12,2007-08-12T02:00:00Z,OAK,ARI,23,27
2007,1,1,2007-08-13,2007-08-13T23:00:00Z,BAL,PHI,3,29
2007,1,1,2007-08-14,2007-08-14T00:00:00Z,SFO,DEN,17,13
2007,1,2,2007-08-17,2007-08-17T00:00:00Z,KCY,MIA,11,10
2007,1,2,2007-08-17,2007-08-17T23:00:00Z,BUF,ATL,13,10
2007,1,2,2007-08-17,2007-08-17T23:00:00Z,PHI,CAR,10,27
2007,1,2,2007-08-18,2007-08-18T00:00:00Z,NWE,TEN,27,24
2007,1,2,2007-08-18,2007-08-18T00:00:00Z,NYJ,MIN,37,20
2007,1,2,2007-08-18,2007-08-18T20:00:00Z,ARI,HOU,33,20
2007,1,2,2007-08-18,2007-08-18T23:00:00Z,CLE,DET,23,20
2007,1,2,2007-08-18,2007-08-18T23:30:00Z,CIN,NOR,27,19
2007,1,2,2007-08-18,2007-08-18T23:30:00Z,JAX,TBY,19,31
2007,1,2,2007-08-19,2007-08-19T00:00:00Z,DAL,DEN,20,31
2007,1,2,2007-08-19,2007-08-19T00:00:00Z,GBY,SEA,13,48
2007,1,2,2007-08-19,2007-08-19T00:00:00Z,WAS,PIT,12,10
2007,1,2,2007-08-19,2007-08-19T02:00:00Z,SFO,OAK,21,26
2007,1,2,2007-08-20,2007-08-20T00:00:00Z,BAL,NYG,13,12
2007,1,2,2007-08-21,2007-08-21T00:00:00Z,IND,CHI,27,24
