trend,sc,season,tm_tr,tm,w,l,t,mov,ats,total
ats,is_away_dog,2016,Pittsburgh,PIT,1,1,0,-8.5,-4.5,NA
ats,is_away_dog,2016,Seattle,SEA,2,1,0,-3,2.5,NA
ats,is_away_dog,2016,San Francisco,SFO,2,4,1,-14.9,-4.9,NA
ats,is_away_dog,2016,Tampa Bay,TBY,6,2,0,-1.2,3.4,NA
ats,is_away_dog,2016,Tennessee,TEN,3,3,0,-1,3.2,NA
ats,is_away_dog,2016,Washington,WAS,3,1,0,-1.2,2.6,NA
ats,is_away_dog,2017,Arizona,ARI,1,3,0,-10,-4.9,NA
ats,is_away_dog,2017,Atlanta,ATL,1,2,0,-4.3,0.7,NA
ats,is_away_dog,2017,Baltimore,BAL,3,1,1,4.2,8.1,NA
ats,is_away_dog,2017,Buffalo,BUF,4,3,0,-8,-0.6,NA
ats,is_away_dog,2017,Carolina,CAR,4,2,0,-1.2,3.8,NA
ats,is_away_dog,2017,Chicago,CHI,3,5,0,-9.1,-0.9,NA
ats,is_away_dog,2017,Cincinnati,CIN,4,3,0,-8.3,-1.9,NA
ats,is_away_dog,2017,Cleveland,CLE,2,6,0,-11.4,-4.1,NA
ats,is_away_dog,2017,Dallas,DAL,0,1,0,-20,-16.5,NA
ats,is_away_dog,2017,Denver,DEN,0,4,0,-15.2,-10.1,NA
ats,is_away_dog,2017,Detroit,DET,2,2,0,-4.2,-0.8,NA
ats,is_away_dog,2017,Green Bay,GBY,3,3,0,-5.7,0.2,NA
ats,is_away_dog,2017,Houston,HOU,4,4,0,-11.6,-3.2,NA
ats,is_away_dog,2017,Indianapolis,IND,3,5,0,-13.4,-5,NA
ats,is_away_dog,2017,Jacksonville,JAX,4,1,0,7.4,13.4,NA
ats,is_away_dog,2017,Kansas City,KCY,2,1,0,2.3,6.8,NA
ats,is_away_dog,2017,LA Chargers,LAC,3,2,1,-4.2,-0.6,NA
ats,is_away_dog,2017,LA Rams,LAR,2,1,0,-0.7,1.7,NA
ats,is_away_dog,2017,Miami,MIA,2,5,0,-14.4,-5.9,NA
ats,is_away_dog,2017,Minnesota,MIN,1,1,0,-6,-0.8,NA
ats,is_away_dog,2017,New Orleans,NOR,2,3,0,-0.6,3.2,NA
ats,is_away_dog,2017,NY Giants,NYG,4,3,0,-6.9,-0.1,NA
ats,is_away_dog,2017,NY Jets,NYJ,1,4,1,-12.3,-2.6,NA
ats,is_away_dog,2017,Oakland,OAK,2,4,0,-9.3,-4.4,NA
ats,is_away_dog,2017,Philadelphia,PHI,3,1,0,2,4.5,NA
ats,is_away_dog,2017,Pittsburgh,PIT,1,0,0,6,9.5,NA
ats,is_away_dog,2017,Seattle,SEA,2,3,0,-1,1.8,NA
ats,is_away_dog,2017,San Francisco,SFO,5,1,0,-3.3,4.7,NA
ats,is_away_dog,2017,Tampa Bay,TBY,1,3,1,-9.2,-2.5,NA
ats,is_away_dog,2017,Tennessee,TEN,2,2,0,-11.2,-3.4,NA
ats,is_away_dog,2017,Washington,WAS,3,3,0,-4.8,1.5,NA
ats,is_away_fav,2016,Arizona,ARI,2,2,0,8,3.6,NA
ats,is_away_fav,2016,Atlanta,ATL,3,0,0,20,16,NA
ats,is_away_fav,2016,Baltimore,BAL,1,2,0,-3.3,-6.3,NA
ats,is_away_fav,2016,Buffalo,BUF,1,2,0,-4,-6.8,NA
ats,is_away_fav,2016,Carolina,CAR,0,3,1,-4,-6.8,NA
ats,is_away_fav,2016,Chicago,CHI,0,1,0,-26,-28.5,NA
ats,is_away_fav,2016,Cincinnati,CIN,1,2,0,-0.7,-3.2,NA
ats,is_away_fav,2016,Dallas,DAL,2,2,0,7.8,4.2,NA
ats,is_away_fav,2016,Denver,DEN,2,1,0,7.3,4,NA
ats,is_away_fav,2016,Detroit,DET,0,1,0,-3,-6,NA
ats,is_away_fav,2016,Green Bay,GBY,2,3,0,-2.2,-5.4,NA
ats,is_away_fav,2016,Kansas City,KCY,3,1,0,8.8,6.1,NA
ats,is_away_fav,2016,LA Chargers,LAC,1,1,0,2.5,-1,NA
ats,is_away_fav,2016,LA Rams,LAR,1,1,0,-12.5,-14.2,NA
ats,is_away_fav,2016,Miami,MIA,1,0,0,21,18.5,NA
ats,is_away_fav,2016,Minnesota,MIN,2,2,0,-0.8,-3.9,NA
ats,is_away_fav,2016,New Orleans,NOR,1,0,0,18,13,NA
ats,is_away_fav,2016,New England,NWE,6,1,0,14.1,6.6,NA
ats,is_away_fav,2016,NY Giants,NYG,1,0,0,14,7.5,NA
ats,is_away_fav,2016,NY Jets,NYJ,1,0,0,3,0.5,NA
ats,is_away_fav,2016,Oakland,OAK,2,0,0,5,3,NA
ats,is_away_fav,2016,Philadelphia,PHI,0,2,0,-4,-7.2,NA
ats,is_away_fav,2016,Pittsburgh,PIT,5,3,0,2,-2.6,NA
ats,is_away_fav,2016,Seattle,SEA,1,5,0,-6,-10.5,NA
ats,is_away_fav,2016,Tennessee,TEN,0,2,0,-7.5,-12.8,NA
ats,is_away_fav,2016,Washington,WAS,2,1,0,7.3,5.3,NA
ats,is_away_fav,2017,Arizona,ARI,1,2,0,0.3,-3.7,NA
ats,is_away_fav,2017,Atlanta,ATL,2,5,0,1.9,-2.4,NA
ats,is_away_fav,2017,Baltimore,BAL,2,0,0,20,15.5,NA
ats,is_away_fav,2017,Buffalo,BUF,1,1,0,-3.5,-6.2,NA
ats,is_away_fav,2017,Carolina,CAR,2,1,0,4.7,0.5,NA
ats,is_away_fav,2017,Cincinnati,CIN,1,0,0,24,21,NA
ats,is_away_fav,2017,Dallas,DAL,5,1,1,8.4,4.8,NA
ats,is_away_fav,2017,Denver,DEN,1,3,0,-11.2,-13.4,NA
ats,is_away_fav,2017,Detroit,DET,1,1,1,2.3,-0.5,NA
ats,is_away_fav,2017,Green Bay,GBY,1,1,0,-3.5,-6.2,NA
ats,is_away_fav,2017,Jacksonville,JAX,2,3,0,4.4,-0.5,NA
ats,is_away_fav,2017,Kansas City,KCY,2,3,0,2.2,-2.2,NA
